0.000024475 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=15825 TCP_ACK=102615 ack
0.000038256 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=15825 TCP_ACK=105511 ack
0.000047437 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=15825 TCP_ACK=108407 ack
0.000031384 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=15825 TCP_ACK=111303 ack
0.000017898 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=15825 TCP_ACK=114199 ack
0.000027436 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=15825 TCP_ACK=117095 ack
0.000027808 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=15825 TCP_ACK=119991 ack
0.000042777 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=15825 TCP_ACK=122887 ack
0.000041964 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=15825 TCP_ACK=125783 ack
0.000021002 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=15825 TCP_ACK=128679 ack
0.003603478 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=15825 TCP_ACK=130103 reassemble
0.003619953 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=17273 TCP_ACK=130103 reassemble
0.003614387 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=18721 TCP_ACK=130103 reassemble
0.003592978 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=20169 TCP_ACK=130103 reassemble
0.003603800 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=21617 TCP_ACK=130103 reassemble
0.003584333 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=23065 TCP_ACK=130103 reassemble
0.003604498 645 PCP=4 (R=0 F=1 LCID=000100 L=642) TCP_SEQ=24513 TCP_ACK=130103 opcua
0.000043305 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=25081 TCP_ACK=132999 ack
0.000031663 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=25081 TCP_ACK=135895 ack
0.000033814 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=25081 TCP_ACK=138791 ack
0.000018789 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=25081 TCP_ACK=141687 ack
0.000018891 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=25081 TCP_ACK=144583 ack
0.000033541 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=25081 TCP_ACK=147479 ack
0.000038189 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=25081 TCP_ACK=150375 ack
0.000050135 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=25081 TCP_ACK=153271 ack
0.000021313 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=25081 TCP_ACK=156167 ack
0.000012944 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=25081 TCP_ACK=159063 ack
0.000042892 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=25081 TCP_ACK=161959 ack
0.000032904 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=25081 TCP_ACK=164501 ack
0.002582280 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=25081 TCP_ACK=164501 reassemble
0.002604649 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=26529 TCP_ACK=164501 reassemble
0.002603535 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=27977 TCP_ACK=164501 reassemble
0.002608199 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=29425 TCP_ACK=164501 reassemble
0.002599504 585 PCP=4 (R=0 F=1 LCID=000100 L=582) TCP_SEQ=30873 TCP_ACK=164501 opcua
0.000023620 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=31381 TCP_ACK=167397 ack
0.000014403 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=31381 TCP_ACK=170293 ack
0.000015913 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=31381 TCP_ACK=173189 ack
0.000038777 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=31381 TCP_ACK=176085 ack
0.000044428 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=31381 TCP_ACK=178981 ack
0.000044968 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=31381 TCP_ACK=181877 ack
0.000047293 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=31381 TCP_ACK=184773 ack
0.000025632 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=31381 TCP_ACK=187669 ack
0.000042754 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=31381 TCP_ACK=190565 ack
0.000039146 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=31381 TCP_ACK=193461 ack
0.000036643 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=31381 TCP_ACK=196357 ack
0.000023989 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=31381 TCP_ACK=199253 ack
0.000042012 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=31381 TCP_ACK=201649 ack
0.002403937 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=31381 TCP_ACK=201649 reassemble
0.002400048 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=32829 TCP_ACK=201649 reassemble
0.002406154 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=34277 TCP_ACK=201649 reassemble
0.002425402 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=35725 TCP_ACK=201649 reassemble
0.002406580 1085 PCP=4 (R=0 F=1 LCID=000100 L=1082) TCP_SEQ=37173 TCP_ACK=201649 opcua
